timestamp,ecg_measurement,qrs_detected
9.820286800000000000e+07,1.774193525300000074e+00,0.000000000000000000e+00
9.820680000000000000e+07,1.842619800500000071e+00,0.000000000000000000e+00
9.821071200000000000e+07,1.886608028399999970e+00,0.000000000000000000e+00
9.821462800000000000e+07,1.891495609199999928e+00,0.000000000000000000e+00
9.821854800000000000e+07,1.891495609199999928e+00,0.000000000000000000e+00
9.822247200000000000e+07,1.940371513299999906e+00,0.000000000000000000e+00
9.822639600000000000e+07,2.008797645500000062e+00,0.000000000000000000e+00
9.823030800000000000e+07,2.052785873399999961e+00,0.000000000000000000e+00
9.823421200000000000e+07,2.052785873399999961e+00,0.000000000000000000e+00
9.823813200000000000e+07,2.052785873399999961e+00,0.000000000000000000e+00
9.824204400000000000e+07,2.086998939499999928e+00,0.000000000000000000e+00
9.824596400000000000e+07,2.140762567499999935e+00,0.000000000000000000e+00
9.824989200000000000e+07,2.179863214400000082e+00,0.000000000000000000e+00
9.825381200000000000e+07,2.174975633599999902e+00,0.000000000000000000e+00
9.825774000000000000e+07,2.165200471799999971e+00,0.000000000000000000e+00
9.826166000000000000e+07,2.189638376200000014e+00,0.000000000000000000e+00
9.826558800000000000e+07,2.238514184900000092e+00,0.000000000000000000e+00
9.826951600000000000e+07,2.267839670099999871e+00,0.000000000000000000e+00
9.827344400000000000e+07,2.238514184900000092e+00,0.000000000000000000e+00
9.827736400000000000e+07,2.189638376200000014e+00,0.000000000000000000e+00
9.828129200000000000e+07,2.179863214400000082e+00,0.000000000000000000e+00
9.828521200000000000e+07,2.199413537899999938e+00,0.000000000000000000e+00
9.828914000000000000e+07,2.209188699699999869e+00,0.000000000000000000e+00
9.829305200000000000e+07,2.179863214400000082e+00,0.000000000000000000e+00
9.829698000000000000e+07,2.121212005599999895e+00,0.000000000000000000e+00
9.830089200000000000e+07,2.091886520300000107e+00,0.000000000000000000e+00
9.830480400000000000e+07,2.111436843799999963e+00,0.000000000000000000e+00
